Date,.SSEC,.VHSI,.SSE180VWI,.CSI000952,.CSI300FS
8/11/1994,689.31,,,,
8/12/1994,689.66,,,,
8/15/1994,665.88,,,,
8/16/1994,693.02,,,,
8/17/1994,725.04,,,,
8/18/1994,748.56,,,,
8/19/1994,713.85,,,,
8/22/1994,681.8,,,,
8/23/1994,714.61,,,,
8/24/1994,705.71,,,,
8/25/1994,722.23,,,,
8/26/1994,707.41,,,,
8/29/1994,710.68,,,,
8/30/1994,756.2,,,,
8/31/1994,785.33,,,,
9/1/1994,790.19,,,,
9/2/1994,830.18,,,,
9/5/1994,940.62,,,,
9/6/1994,1004.92,,,,
9/7/1994,931.57,,,,
9/8/1994,972.84,,,,
9/9/1994,962.53,,,,
9/12/1994,1019.97,,,,
9/13/1994,1033.47,,,,
9/14/1994,974.86,,,,
9/15/1994,972.54,,,,
9/16/1994,978.99,,,,
9/19/1994,927.62,,,,
9/20/1994,914.39,,,,
9/21/1994,969.02,,,,
9/22/1994,918.44,,,,
9/23/1994,867.65,,,,
9/26/1994,880.69,,,,
9/27/1994,870.15,,,,
9/28/1994,912.38,,,,
9/29/1994,839.37,,,,
9/30/1994,791.15,,,,
10/5/1994,706.42,,,,
10/6/1994,660.5,,,,
10/7/1994,738.03,,,,
10/10/1994,698.93,,,,
10/11/1994,705.07,,,,
10/12/1994,711.01,,,,
10/13/1994,635.38,,,,
10/14/1994,663.75,,,,
10/17/1994,616.34,,,,
10/18/1994,624.52,,,,
10/19/1994,652.89,,,,
10/20/1994,718.99,,,,
10/21/1994,712.71,,,,
10/24/1994,785.85,,,,
10/25/1994,744.49,,,,
10/26/1994,686.31,,,,
10/27/1994,703.67,,,,
10/28/1994,677.4,,,,
10/31/1994,654.98,,,,
11/1/1994,673.79,,,,
11/2/1994,667.87,,,,
11/3/1994,717.36,,,,
11/4/1994,666.78,,,,
11/7/1994,674.68,,,,
11/8/1994,709.69,,,,
11/9/1994,723.91,,,,
11/10/1994,711.68,,,,
11/11/1994,731.16,,,,
11/14/1994,733.4,,,,
11/15/1994,705.43,,,,
11/16/1994,706.63,,,,
11/17/1994,697.17,,,,
11/18/1994,698.81,,,,
11/21/1994,699.1,,,,
11/22/1994,692.39,,,,
11/23/1994,679.61,,,,
11/24/1994,678.02,,,,
11/25/1994,685.33,,,,
11/28/1994,681.489,,,,
11/29/1994,687.555,,,,
11/30/1994,683.59,,,,
12/1/1994,682.299,,,,
12/2/1994,677.91,,,,
12/5/1994,663.133,,,,
12/6/1994,653.982,,,,
12/7/1994,652.852,,,,
12/8/1994,643.855,,,,
12/9/1994,640.673,,,,
12/12/1994,620.467,,,,
12/13/1994,636.662,,,,
12/14/1994,625.213,,,,
12/15/1994,666.677,,,,
12/16/1994,680.229,,,,
12/19/1994,653.371,,,,
12/20/1994,667.941,,,,
12/21/1994,672.472,,,,
12/22/1994,673.477,,,,
12/23/1994,677.841,,,,
12/26/1994,675.878,,,,
12/27/1994,660.878,,,,
12/28/1994,649.594,,,,
12/29/1994,645.057,,,,
12/30/1994,647.867,,,,
1/3/1995,639.88,,,,
1/4/1995,653.814,,,,
1/5/1995,646.891,,,,
1/6/1995,640.756,,,,
1/9/1995,626.001,,,,
1/10/1995,610.296,,,,
1/11/1995,613.131,,,,
1/12/1995,602.124,,,,
1/13/1995,597.835,,,,
1/16/1995,588.853,,,,
1/17/1995,587.938,,,,
1/18/1995,593.64,,,,
1/19/1995,571.724,,,,
1/20/1995,571.237,,,,
1/23/1995,553.462,,,,
1/24/1995,547.573,,,,
1/25/1995,555.768,,,,
1/26/1995,553.113,,,,
1/27/1995,562.585,,,,
2/6/1995,533.719,,,,
2/7/1995,532.489,,,,
2/8/1995,533.75,,,,
2/9/1995,553.358,,,,
2/10/1995,541.374,,,,
2/13/1995,548.84,,,,
2/14/1995,548.107,,,,
2/15/1995,542.837,,,,
2/16/1995,538.369,,,,
2/17/1995,533.764,,,,
2/20/1995,534.957,,,,
2/21/1995,541.142,,,,
2/22/1995,594.634,,,,
2/23/1995,589.128,,,,
2/24/1995,558.429,,,,
2/27/1995,561.273,,,,
2/28/1995,549.257,,,,
3/1/1995,556.956,,,,
3/2/1995,560.853,,,,
3/3/1995,577.222,,,,
3/6/1995,616.299,,,,
3/7/1995,632.956,,,,
3/8/1995,620.807,,,,
3/9/1995,605.585,,,,
3/10/1995,586.288,,,,
3/13/1995,586.229,,,,
3/14/1995,588.237,,,,
3/15/1995,572.603,,,,
3/16/1995,579.876,,,,
3/17/1995,593.519,,,,
3/20/1995,585.446,,,,
3/21/1995,591.947,,,,
3/22/1995,613.695,,,,
3/23/1995,611.129,,,,
3/24/1995,611.774,,,,
3/27/1995,629.362,,,,
3/28/1995,626.545,,,,
3/29/1995,637.145,,,,
3/30/1995,630.932,,,,
3/31/1995,646.915,,,,
4/3/1995,656.651,,,,
4/4/1995,660.158,,,,
4/5/1995,649.702,,,,
4/6/1995,659.056,,,,
4/7/1995,673.717,,,,
4/10/1995,667.393,,,,
4/11/1995,641.079,,,,
4/12/1995,644.743,,,,
4/13/1995,632.759,,,,
4/14/1995,640.042,,,,
4/17/1995,631.26,,,,
4/18/1995,625.521,,,,
4/19/1995,631.504,,,,
4/20/1995,645.199,,,,
4/21/1995,635.986,,,,
4/24/1995,619.731,,,,
4/25/1995,619.836,,,,
4/26/1995,601.828,,,,
4/27/1995,573.304,,,,
4/28/1995,579.93,,,,
5/2/1995,579.048,,,,
5/3/1995,580.383,,,,
5/4/1995,571.195,,,,
5/5/1995,574.169,,,,
5/8/1995,571.513,,,,
5/9/1995,578.504,,,,
5/10/1995,565.142,,,,
5/11/1995,568.061,,,,
5/12/1995,584.839,,,,
5/15/1995,582.038,,,,
5/16/1995,578.851,,,,
5/17/1995,582.885,,,,
5/18/1995,763.509,,,,
5/19/1995,855.808,,,,
5/22/1995,897.42,,,,
5/23/1995,750.303,,,,
5/24/1995,741.928,,,,
5/25/1995,696.844,,,,
5/26/1995,727.619,,,,
5/29/1995,710.587,,,,
5/30/1995,711.001,,,,
5/31/1995,700.507,,,,
6/1/1995,708.667,,,,
6/2/1995,716.816,,,,
6/5/1995,691.637,,,,
6/6/1995,689.131,,,,
6/7/1995,716.45,,,,
6/8/1995,695.932,,,,
6/9/1995,702.617,,,,
6/12/1995,698.72,,,,
6/13/1995,698.944,,,,
6/14/1995,689.22,,,,
6/15/1995,646.846,,,,
6/16/1995,646.543,,,,
6/19/1995,638.96,,,,
6/20/1995,640.653,,,,
6/21/1995,651.81,,,,
6/22/1995,644.466,,,,
6/23/1995,650.14,,,,
6/26/1995,653.404,,,,
6/27/1995,649.927,,,,
6/28/1995,647.639,,,,
6/29/1995,643.92,,,,
6/30/1995,630.579,,,,
7/3/1995,613.179,,,,
7/4/1995,620.617,,,,
7/5/1995,636.025,,,,
7/6/1995,637.764,,,,
7/7/1995,666.78,,,,
7/10/1995,666.241,,,,
7/11/1995,649.192,,,,
7/12/1995,648.911,,,,
7/13/1995,656.308,,,,
7/14/1995,652.804,,,,
7/17/1995,695.452,,,,
7/18/1995,715.47,,,,
7/19/1995,690.975,,,,
7/20/1995,690.3,,,,
7/21/1995,693.561,,,,
7/24/1995,709.916,,,,
7/25/1995,703.579,,,,
7/26/1995,691.113,,,,
7/27/1995,697.722,,,,
7/28/1995,695.424,,,,
7/31/1995,695.552,,,,
8/1/1995,715.401,,,,
8/2/1995,699.991,,,,
8/3/1995,703.441,,,,
8/4/1995,709.8,,,,
